asin,Title,Rating,NumberOfReviews,Price
B000R2Z8P8,"Arizona Green Tea with Ginseng and Honey, 128 Fl Oz",4.8,"10,716 ratings", 
B07W14VGVR,"Ahmad Tea - Favorite Tea Bags Sampler Assortment Box - 60 Count - Variety Tea Bags in Gift Box - Gift for Family, Friends, Coworkers - English Breakfast, English Afternoon, Green",4.6,"1,967 ratings",
B000WJNX3A,"Harney & Sons Flavored Black Tea, Paris, 4 Ounce",4.7,"1,716 ratings",
B002HQCWYM,"Twinings English Breakfast Tea K-Cup Pods for Keurig, Caffeinated, Smooth, Flavourful, Robust Black Tea, 24 Count (Pack of 1)",4.7,"39,402 ratings",
B07D44YMWH,"Twinings Herbal Tea Bags - 40 Individually Wrapped Tea Bags, Pure Peppermint, Camomile, Rooibos Red, Honeybush Mandarin Orange, Plus 9 More Flavors - with BYTC Honey Sticks",4.7,"4,126 ratings",
B0062JSYEW,"Taylors of Harrogate Assorted Specialty Teas Box , 48 count (Pack of 1)",4.7,"23,842 ratings",
B07BBLT38T,"MODERN TIMES Single Origin Cold Brew, 12 FZ",4.3,24 ratings,
B07Z8FDK8H,"Tazo Tea Bags Sampler Assortment Variety Pack Gift Box - 42 Count - 14 Different Flavors Perfect Variety – Passion Fruit, Awake English Breakfast, Early Grey, Green, Herbal, Chai Tea and more …",4.6,"2,502 ratings",
B007M8FRTW,"Yogi Sweet Tangerine Positive Energy, 16 Tea Bags, Packaging May Vary (Pack of 1)",4.7,"2,986 ratings",
B00CAWEJCG,"Folgers Black Silk Dark Roast Coffee, 72 Keurig K-Cup Pods",4.8,"23,070 ratings",
B001GM60LE,"Twinings English Breakfast Black Tea Bags, 100 Count (Pack of 1)",4.8,"71,859 ratings",
B07KXWY1WY,Starbucks VIA Instant Coffee—Medium Roast Coffee—Pike Place Roast—100% Arabica—1 box (50 packets),4.6,"13,726 ratings",
B06VWK65H8,"Peet's Coffee, Dark Roast K-Cup Pods for Keurig Brewers - French Roast 54 Count (1 Box of 54 K-Cup Pods) Packaging May Vary",4.8,"5,638 ratings",
B07NZTX694,"Amazon Brand - 100 Ct. Happy Belly Light Roast Coffee Pods, Breakfast Blend, Compatible with Keurig 2.0 K-Cup Brewers",4.5,"50,424 ratings",
B007TJGY6O,"The Original Donut Shop Regular, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee Pods, 96 Count",4.7,"68,842 ratings",
B0154AVVSK,"Signature 100% Colombian Coffee Supremo Bean Dark Roast-Fine Grind, 6 Pound ,Signature-ykgj",4.7,"1,907 ratings",
B074H81M7Y,"365 by Whole Foods Market, Coffee Island Blend Whole Bean, 24 Ounce",4.5,404 ratings, 
B00XA1075Y,"Dunkin' Original Blend Medium Roast Coffee, 60 Keurig K-Cup Pods",4.8,"37,210 ratings",
B00I5FWWS0,"Caribou Coffee Caribou Blend, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee, 72 Count",4.8,"10,860 ratings",
B09HCVCK26,"Folgers Classic Roast Medium Roast Ground Coffee, 33.7 Ounces (Pack of 6)",4.8,"14,394 ratings",
B07BF3X466,"Folgers Classic Medium Roast Coffee, 2-Pack of 48 Ounce Cans",4.4,169 ratings,
B00I08JK7S,"Green Mountain Coffee Roasters Breakfast Blend, Single-Serve Keurig K-Cup Pods, Light Roast Coffee Pods, 72 Count",4.8,"40,849 ratings",
B0768QPPZC,"Nespresso Capsules VertuoLine, Half Caffeinato, Mild Roast Coffee, 30 Count Coffee Pods, Brews 7.8oz",4.8,"5,182 ratings", 36.50 
B07FYXC7K7,"NITRO BEVERAGE CO Organic Nitro Cold Brew Espresso, 8 FZ",4.7,30 ratings,
B0796G222F,"ITALIAN Dark Roast Whole bean – 5 LB Extra Strong Coffee - The World’s Strongest Coffee Beans | Classic Black Coffee, Breakfast, House Gourmet, Italian Espresso- Roasted in New York",4.5,"3,362 ratings",
B000FV5F4U,Half a Dozen Cans (6 Cans) of Coffee Du Monde - 15 oz. cans,4.8,"2,690 ratings",
B07YF7RMMJ,"Dunkin' Decaf Medium Roast Coffee, 88 Keurig K-Cup Pods",4.8,"5,999 ratings",
B07QCR3P28,"365 by Whole Foods Market, Coffee Flavored Vanilla Ground Organic, 12 Ounce",4.5,"1,216 ratings", 
B07GNZZ25C,"Caribou Coffee Caribou Blend, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee, 24 Count (Pack of 4)",4.8,"1,892 ratings",
B08DBYJKVW,"McCafé Premium Roast, Keurig Single Serve K-Cup Pods, Medium Roast Coffee Pods, 96 Count",4.7,"62,098 ratings",
B07XCY26MT,"Original Blend Ground Coffee, Medium Roast (45 oz.)(Two Pack)",4.8,654 ratings,
B07VS1BXZJ,"Folgers Coffee, Classic(Medium) Roast, 51 Ounce",4.5,105 ratings,
B014Q39VD8,"Seaworth Coffee Co, Coffee Cold Brew Sludge Concentrate, 32 Fl Oz",4.5,34 ratings,
B07FWB6477,"Elemental Coffee, Coffee Single Origin Espresso, 12 Ounce",5.0,3 ratings,
B07B3WC49R,Tea Bags Sampler Assortment Box (Blue Ribbon Box - 52 Count),4.7,"7,725 ratings",
B0099HD3YA,"Nespresso Capsules OriginalLine, Ispirazione Variety Pack, Medium & Dark Roast Espresso Coffee, 50 Count Espresso Coffee Pods, Brews 1.35oz",4.8,"37,969 ratings",
B07HRVYPJ7,"illy Classico Whole Bean Coffee, Medium Roast, Classic Roast with Notes Of Caramel, Orange Blossom and Jasmine, 100% Arabica Coffee, No Preservatives, 8.8 Ounce (Pack of 6)",4.6,"6,605 ratings",
B07PY5252D,"Ox Coffee, Coffee Ace Iced Blend, 10 Ounce",5.0,1 rating,
B009GDBNF8,"Starbucks Pike Place Roast K Cups, 96-Count",4.7,"79,336 ratings",
B004MFME2G,"Nespresso Capsules OriginalLine, Livanto, Medium Roast Espresso Coffee, 50 Count Coffee Pods, Brews 1.35 Ounce",4.8,"2,807 ratings",
B07QJ32S57,"365 by Whole Foods Market, Coffee Flavored Caramel Ground Organic, 12 Ounce",4.5,"1,085 ratings", 
B0768QK616,"Nespresso Capsules VertuoLine, Stormio, Dark Roast Coffee, 30 Count Coffee Pods, Brews 7.77 Ounce",4.8,"10,188 ratings",
B0752GGQG2,"Nespresso Capsules OriginalLine, Ispirazione Arpeggio Intenso, Dark Roast Coffee, 50 Count Coffee Pods, Brews 1.35oz",4.8,"16,665 ratings",
B0768N976P,"Nespresso Capsules VertuoLine, Odacio, Dark Roast Coffee, 30 Count (Pack of 3)Brews 7.77 Ounce",4.8,"8,919 ratings",
B07FXSZDYX,"Kings Row Coffee, Coffee Kings Brew Nitrogen Infused, 12 Fl Oz",4.0,22 ratings,
B00UUSXBQ2,"Califia Farms - Mocha Cold Brew Coffee with Almond Milk, 48 Oz, 100% Arabica, Dairy Free, Plant Based, Vegan, Gluten Free, Non GMO, Iced Coffee",4.5,"3,061 ratings", 
